Vlidation at HEFT: mean_flowtime_deterministic: 521.875939+/-75.079270	 time_elapsed: 0.087675
Vlidation at update-0: mean_flowtime_deterministic: 421.007858+/-68.341115	 mean_Entropy: 1.293109+/-0.046700	 record: 421.007858	 time_elapsed: 0.199275
Episode-1: ep_meanFlowTime: 506.718572	 all_loss: 0.240729	 p_loss: -1.728465	 e_loss: 1.239471	 v_loss: 0.481458	 v_mre: 38.480464	 grad_changes: 0.000000	 time_elapsed: 0.2195
Episode-2: ep_meanFlowTime: 380.981955	 all_loss: 0.116318	 p_loss: 0.357240	 e_loss: 1.251616	 v_loss: 0.232637	 v_mre: 34.516130	 grad_changes: 0.000000	 time_elapsed: 0.2409
Episode-3: ep_meanFlowTime: 396.874040	 all_loss: 0.117891	 p_loss: 0.052318	 e_loss: 1.317309	 v_loss: 0.235781	 v_mre: 49.082596	 grad_changes: 0.000000	 time_elapsed: 0.2593
Episode-4: ep_meanFlowTime: 447.675593	 all_loss: 0.056676	 p_loss: 0.109497	 e_loss: 1.323697	 v_loss: 0.113353	 v_mre: 20.070036	 grad_changes: 0.000000	 time_elapsed: 0.2788
Episode-5: ep_meanFlowTime: 439.124112	 all_loss: 0.084920	 p_loss: -0.063608	 e_loss: 1.242635	 v_loss: 0.169839	 v_mre: 22.525829	 grad_changes: 0.000000	 time_elapsed: 0.2997
Episode-6: ep_meanFlowTime: 428.641312	 all_loss: 0.151218	 p_loss: -0.036901	 e_loss: 1.314789	 v_loss: 0.302435	 v_mre: 104.391378	 grad_changes: 0.000000	 time_elapsed: 0.3187
Episode-7: ep_meanFlowTime: 224.003825	 all_loss: 0.032847	 p_loss: 0.445042	 e_loss: 1.282261	 v_loss: 0.065695	 v_mre: 29.451699	 grad_changes: 0.000000	 time_elapsed: 0.3368
Episode-8: ep_meanFlowTime: 479.341409	 all_loss: 0.198026	 p_loss: -0.709108	 e_loss: 1.265595	 v_loss: 0.396053	 v_mre: 36.105042	 grad_changes: 0.000000	 time_elapsed: 0.3565
Episode-9: ep_meanFlowTime: 256.135092	 all_loss: 0.061487	 p_loss: 0.673256	 e_loss: 1.261249	 v_loss: 0.122975	 v_mre: 38.183960	 grad_changes: 0.000000	 time_elapsed: 0.3763
Episode-10: ep_meanFlowTime: 327.043196	 all_loss: 0.066545	 p_loss: -0.188379	 e_loss: 1.224818	 v_loss: 0.133090	 v_mre: 45.240816	 grad_changes: 0.000000	 time_elapsed: 0.3962
Episode-11: ep_meanFlowTime: 593.252589	 all_loss: 0.129952	 p_loss: -0.508263	 e_loss: 1.225314	 v_loss: 0.259903	 v_mre: 22.333275	 grad_changes: 0.000000	 time_elapsed: 0.4176
Episode-12: ep_meanFlowTime: 367.995174	 all_loss: 0.099899	 p_loss: 0.458292	 e_loss: 1.188308	 v_loss: 0.199798	 v_mre: 33.243735	 grad_changes: 0.000000	 time_elapsed: 0.4381
Episode-13: ep_meanFlowTime: 478.538960	 all_loss: 0.155381	 p_loss: -0.429655	 e_loss: 1.211694	 v_loss: 0.310763	 v_mre: 145.852282	 grad_changes: 0.000000	 time_elapsed: 0.4580
Episode-14: ep_meanFlowTime: 386.216078	 all_loss: 0.041740	 p_loss: 0.198523	 e_loss: 1.275345	 v_loss: 0.083481	 v_mre: 20.606483	 grad_changes: 0.000000	 time_elapsed: 0.4773
Episode-15: ep_meanFlowTime: 468.735847	 all_loss: 0.099480	 p_loss: -0.054165	 e_loss: 1.235939	 v_loss: 0.198961	 v_mre: 22.821394	 grad_changes: 0.000000	 time_elapsed: 0.4972
Episode-16: ep_meanFlowTime: 308.891660	 all_loss: 0.044694	 p_loss: 0.483332	 e_loss: 1.256699	 v_loss: 0.089389	 v_mre: 57.422403	 grad_changes: 0.000000	 time_elapsed: 0.5163
Episode-17: ep_meanFlowTime: 504.342636	 all_loss: 0.109049	 p_loss: -0.353740	 e_loss: 1.262916	 v_loss: 0.218098	 v_mre: 27.162361	 grad_changes: 0.000000	 time_elapsed: 0.5369
Episode-18: ep_meanFlowTime: 532.470179	 all_loss: 0.079400	 p_loss: -0.455991	 e_loss: 1.262590	 v_loss: 0.158800	 v_mre: 19.466114	 grad_changes: 0.000000	 time_elapsed: 0.5565
Episode-19: ep_meanFlowTime: 442.498927	 all_loss: 0.109627	 p_loss: 0.309559	 e_loss: 1.292910	 v_loss: 0.219254	 v_mre: 34.546030	 grad_changes: 0.000000	 time_elapsed: 0.5756
Episode-20: ep_meanFlowTime: 418.570269	 all_loss: 0.131759	 p_loss: 0.255942	 e_loss: 1.257719	 v_loss: 0.263519	 v_mre: 33.263129	 grad_changes: 0.000000	 time_elapsed: 0.5966
Vlidation at update-20: mean_flowtime_deterministic: 421.007858+/-68.341115	 mean_Entropy: 1.293124+/-0.046695	 record: 421.007858	 time_elapsed: 0.7096
Episode-21: ep_meanFlowTime: 447.711682	 all_loss: 0.094554	 p_loss: -0.212092	 e_loss: 1.247614	 v_loss: 0.189109	 v_mre: 26.510488	 grad_changes: 0.000000	 time_elapsed: 0.7288
Episode-22: ep_meanFlowTime: 462.254075	 all_loss: 0.062755	 p_loss: 0.269877	 e_loss: 1.221448	 v_loss: 0.125509	 v_mre: 18.885278	 grad_changes: 0.000000	 time_elapsed: 0.7495
Episode-23: ep_meanFlowTime: 453.165074	 all_loss: 0.081768	 p_loss: 0.034652	 e_loss: 1.270946	 v_loss: 0.163536	 v_mre: 26.538453	 grad_changes: 0.000000	 time_elapsed: 0.7702
Episode-24: ep_meanFlowTime: 590.911893	 all_loss: 0.115075	 p_loss: -0.249139	 e_loss: 1.269547	 v_loss: 0.230150	 v_mre: 20.984050	 grad_changes: 0.000000	 time_elapsed: 0.7911
Episode-25: ep_meanFlowTime: 430.666863	 all_loss: 0.055758	 p_loss: 0.165811	 e_loss: 1.194716	 v_loss: 0.111516	 v_mre: 27.010924	 grad_changes: 0.000000	 time_elapsed: 0.8114
Episode-26: ep_meanFlowTime: 373.959314	 all_loss: 0.028795	 p_loss: 0.062201	 e_loss: 1.242410	 v_loss: 0.057590	 v_mre: 76.293326	 grad_changes: 0.000000	 time_elapsed: 0.8312
Episode-27: ep_meanFlowTime: 430.097376	 all_loss: 0.088584	 p_loss: -0.149351	 e_loss: 1.237579	 v_loss: 0.177167	 v_mre: 30.918103	 grad_changes: 0.000000	 time_elapsed: 0.8511
Episode-28: ep_meanFlowTime: 509.730735	 all_loss: 0.072527	 p_loss: -0.187417	 e_loss: 1.241963	 v_loss: 0.145053	 v_mre: 58.557784	 grad_changes: 0.000000	 time_elapsed: 0.8708
Episode-29: ep_meanFlowTime: 489.713177	 all_loss: 0.133603	 p_loss: 0.439739	 e_loss: 1.291637	 v_loss: 0.267205	 v_mre: 25.053344	 grad_changes: 0.000000	 time_elapsed: 0.8909
Episode-30: ep_meanFlowTime: 610.888680	 all_loss: 0.097416	 p_loss: -0.522984	 e_loss: 1.263592	 v_loss: 0.194832	 v_mre: 18.705135	 grad_changes: 0.000000	 time_elapsed: 0.9112
Episode-31: ep_meanFlowTime: 385.904241	 all_loss: 0.111324	 p_loss: 0.534003	 e_loss: 1.212119	 v_loss: 0.222649	 v_mre: 37.457129	 grad_changes: 0.000000	 time_elapsed: 0.9312
Episode-32: ep_meanFlowTime: 302.785218	 all_loss: 0.042929	 p_loss: 0.353758	 e_loss: 1.286457	 v_loss: 0.085857	 v_mre: 31.908756	 grad_changes: 0.000000	 time_elapsed: 0.9497
Episode-33: ep_meanFlowTime: 344.914243	 all_loss: 0.089966	 p_loss: 0.004212	 e_loss: 1.293813	 v_loss: 0.179931	 v_mre: 31.460355	 grad_changes: 0.000000	 time_elapsed: 0.9689
Episode-34: ep_meanFlowTime: 380.199932	 all_loss: 0.089784	 p_loss: 0.003927	 e_loss: 1.209155	 v_loss: 0.179568	 v_mre: 108.614966	 grad_changes: 0.000000	 time_elapsed: 0.9894
Episode-35: ep_meanFlowTime: 378.585440	 all_loss: 0.047092	 p_loss: -0.040615	 e_loss: 1.269395	 v_loss: 0.094185	 v_mre: 57.472731	 grad_changes: 0.000000	 time_elapsed: 1.0093
Episode-36: ep_meanFlowTime: 398.878894	 all_loss: 0.027431	 p_loss: -0.145474	 e_loss: 1.203131	 v_loss: 0.054861	 v_mre: 24.023107	 grad_changes: 0.000000	 time_elapsed: 1.0292
Episode-37: ep_meanFlowTime: 339.001406	 all_loss: 0.042253	 p_loss: -0.176613	 e_loss: 1.276883	 v_loss: 0.084506	 v_mre: 22.821815	 grad_changes: 0.000000	 time_elapsed: 1.0485
Episode-38: ep_meanFlowTime: 485.915567	 all_loss: 0.147545	 p_loss: -0.203295	 e_loss: 1.282641	 v_loss: 0.295090	 v_mre: 44.299017	 grad_changes: 0.000000	 time_elapsed: 1.0691
Episode-39: ep_meanFlowTime: 507.861593	 all_loss: 0.103457	 p_loss: 0.029683	 e_loss: 1.204796	 v_loss: 0.206914	 v_mre: 109.542480	 grad_changes: 0.000000	 time_elapsed: 1.0901
Episode-40: ep_meanFlowTime: 614.551195	 all_loss: 0.140653	 p_loss: -0.956782	 e_loss: 1.292293	 v_loss: 0.281305	 v_mre: 179.377778	 grad_changes: 0.000000	 time_elapsed: 1.1103
Vlidation at update-40: mean_flowtime_deterministic: 421.007858+/-68.341115	 mean_Entropy: 1.293122+/-0.046688	 record: 421.007858	 time_elapsed: 1.2230
Episode-41: ep_meanFlowTime: 364.672905	 all_loss: 0.059730	 p_loss: 0.509955	 e_loss: 1.202437	 v_loss: 0.119460	 v_mre: 25.688071	 grad_changes: 0.000000	 time_elapsed: 1.2426
Episode-42: ep_meanFlowTime: 351.750477	 all_loss: 0.040408	 p_loss: 0.160729	 e_loss: 1.261482	 v_loss: 0.080816	 v_mre: 43.182131	 grad_changes: 0.000000	 time_elapsed: 1.2624
Episode-43: ep_meanFlowTime: 353.998816	 all_loss: 0.050788	 p_loss: 0.061145	 e_loss: 1.282887	 v_loss: 0.101576	 v_mre: 48.643306	 grad_changes: 0.000000	 time_elapsed: 1.2819
Episode-44: ep_meanFlowTime: 462.379798	 all_loss: 0.065882	 p_loss: -0.347450	 e_loss: 1.304175	 v_loss: 0.131764	 v_mre: 24.682523	 grad_changes: 0.000000	 time_elapsed: 1.3019
Episode-45: ep_meanFlowTime: 476.448056	 all_loss: 0.084734	 p_loss: 0.020286	 e_loss: 1.220927	 v_loss: 0.169467	 v_mre: 27.184775	 grad_changes: 0.000000	 time_elapsed: 1.3217
Episode-46: ep_meanFlowTime: 578.322247	 all_loss: 0.140137	 p_loss: -0.199478	 e_loss: 1.244582	 v_loss: 0.280274	 v_mre: 64.865946	 grad_changes: 0.000000	 time_elapsed: 1.3444
Episode-47: ep_meanFlowTime: 520.000193	 all_loss: 0.077840	 p_loss: -0.463274	 e_loss: 1.275324	 v_loss: 0.155679	 v_mre: 19.426481	 grad_changes: 0.000000	 time_elapsed: 1.3650
