episode,ep_meanFlowTime,all_loss,p_loss,e_loss,v_loss,v_mre,grad_changes,time_elapsed_h
1,506.718572,0.240729,-1.728465,1.239471,0.481458,38.480464,0.0,0.2195
2,380.981955,0.116318,0.35724,1.251616,0.232637,34.51613,0.0,0.2409
3,396.87404,0.117891,0.052318,1.317309,0.235781,49.082596,0.0,0.2593
4,447.675593,0.056676,0.109497,1.323697,0.113353,20.070036,0.0,0.2788
5,439.124112,0.08492,-0.063608,1.242635,0.169839,22.525829,0.0,0.2997
6,428.641312,0.151218,-0.036901,1.314789,0.302435,104.391378,0.0,0.3187
7,224.003825,0.032847,0.445042,1.282261,0.065695,29.451699,0.0,0.3368
8,479.341409,0.198026,-0.709108,1.265595,0.396053,36.105042,0.0,0.3565
9,256.135092,0.061487,0.673256,1.261249,0.122975,38.18396,0.0,0.3763
10,327.043196,0.066545,-0.188379,1.224818,0.13309,45.240816,0.0,0.3962
11,593.252589,0.129952,-0.508263,1.225314,0.259903,22.333275,0.0,0.4176
12,367.995174,0.099899,0.458292,1.188308,0.199798,33.243735,0.0,0.4381
13,478.53896,0.155381,-0.429655,1.211694,0.310763,145.852282,0.0,0.458
14,386.216078,0.04174,0.198523,1.275345,0.083481,20.606483,0.0,0.4773
15,468.735847,0.09948,-0.054165,1.235939,0.198961,22.821394,0.0,0.4972
16,308.89166,0.044694,0.483332,1.256699,0.089389,57.422403,0.0,0.5163
17,504.342636,0.109049,-0.35374,1.262916,0.218098,27.162361,0.0,0.5369
18,532.470179,0.0794,-0.455991,1.26259,0.1588,19.466114,0.0,0.5565
19,442.498927,0.109627,0.309559,1.29291,0.219254,34.54603,0.0,0.5756
20,418.570269,0.131759,0.255942,1.257719,0.263519,33.263129,0.0,0.5966
21,447.711682,0.094554,-0.212092,1.247614,0.189109,26.510488,0.0,0.7288
22,462.254075,0.062755,0.269877,1.221448,0.125509,18.885278,0.0,0.7495
23,453.165074,0.081768,0.034652,1.270946,0.163536,26.538453,0.0,0.7702
24,590.911893,0.115075,-0.249139,1.269547,0.23015,20.98405,0.0,0.7911
25,430.666863,0.055758,0.165811,1.194716,0.111516,27.010924,0.0,0.8114
26,373.959314,0.028795,0.062201,1.24241,0.05759,76.293326,0.0,0.8312
27,430.097376,0.088584,-0.149351,1.237579,0.177167,30.918103,0.0,0.8511
28,509.730735,0.072527,-0.187417,1.241963,0.145053,58.557784,0.0,0.8708
29,489.713177,0.133603,0.439739,1.291637,0.267205,25.053344,0.0,0.8909
30,610.88868,0.097416,-0.522984,1.263592,0.194832,18.705135,0.0,0.9112
31,385.904241,0.111324,0.534003,1.212119,0.222649,37.457129,0.0,0.9312
32,302.785218,0.042929,0.353758,1.286457,0.085857,31.908756,0.0,0.9497
33,344.914243,0.089966,0.004212,1.293813,0.179931,31.460355,0.0,0.9689
34,380.199932,0.089784,0.003927,1.209155,0.179568,108.614966,0.0,0.9894
35,378.58544,0.047092,-0.040615,1.269395,0.094185,57.472731,0.0,1.0093
36,398.878894,0.027431,-0.145474,1.203131,0.054861,24.023107,0.0,1.0292
37,339.001406,0.042253,-0.176613,1.276883,0.084506,22.821815,0.0,1.0485
38,485.915567,0.147545,-0.203295,1.282641,0.29509,44.299017,0.0,1.0691
39,507.861593,0.103457,0.029683,1.204796,0.206914,109.54248,0.0,1.0901
40,614.551195,0.140653,-0.956782,1.292293,0.281305,179.377778,0.0,1.1103
41,364.672905,0.05973,0.509955,1.202437,0.11946,25.688071,0.0,1.2426
42,351.750477,0.040408,0.160729,1.261482,0.080816,43.182131,0.0,1.2624
43,353.998816,0.050788,0.061145,1.282887,0.101576,48.643306,0.0,1.2819
44,462.379798,0.065882,-0.34745,1.304175,0.131764,24.682523,0.0,1.3019
45,476.448056,0.084734,0.020286,1.220927,0.169467,27.184775,0.0,1.3217
46,578.322247,0.140137,-0.199478,1.244582,0.280274,64.865946,0.0,1.3444
47,520.000193,0.07784,-0.463274,1.275324,0.155679,19.426481,0.0,1.365
48,293.310686,0.040704,0.562088,1.279896,0.081408,121.471768,0.0,1.3844
49,394.831471,0.056799,-0.184749,1.272988,0.113598,67.905384,0.0,1.4043
50,314.251836,0.038703,0.10185,1.259637,0.077406,24.417974,0.0,1.4241
51,667.297198,0.344785,-0.783441,1.194557,0.689571,26.132968,0.0,1.4485
52,347.404798,0.042249,0.408455,1.162191,0.084498,24.657151,0.0,1.4686
53,305.188426,0.048659,0.125513,1.231729,0.097317,32.752411,0.0,1.4881
54,363.992144,0.056201,-0.181604,1.255003,0.112402,24.184911,0.0,1.5082
55,521.529091,0.091298,-0.254848,1.223972,0.182595,21.797065,0.0,1.5284
56,502.970976,0.092316,0.022248,1.277737,0.184632,76.404691,0.0,1.5489
57,509.671594,0.113355,-0.059549,1.201699,0.226711,159.234733,0.0,1.5701
58,230.075474,0.035409,0.279575,1.260332,0.070818,47.903419,0.0,1.589
59,537.307801,0.114956,-0.523516,1.22304,0.229913,22.683478,0.0,1.6108
