update,val_flowtime,val_std,val_entropy,val_entropy_std,record
0,421.007858,68.341115,1.293109,0.0467,421.007858
20,421.007858,68.341115,1.293124,0.046695,421.007858
40,421.007858,68.341115,1.293122,0.046688,421.007858
60,421.007858,68.341115,1.293122,0.046699,421.007858
80,421.007858,68.341115,1.293131,0.046701,421.007858
100,421.007858,68.341115,1.293123,0.0467,421.007858
120,421.007858,68.341115,1.293126,0.046704,421.007858
140,421.007858,68.341115,1.293117,0.046703,421.007858
160,421.007858,68.341115,1.293119,0.046699,421.007858
180,421.007858,68.341115,1.293122,0.0467,421.007858
200,421.007858,68.341115,1.293119,0.046695,421.007858
220,423.394023,72.797217,1.376085,0.03178,421.007858
240,450.360088,81.445892,1.359205,0.022399,421.007858
260,488.0317,115.386607,1.222887,0.036754,421.007858
280,441.792134,75.104252,1.37806,0.029374,421.007858
300,436.546773,71.84224,1.387812,0.031531,421.007858
