Vlidation at HEFT: mean_flowtime_deterministic: 521.875939+/-75.079270	 time_elapsed: 0.087514
Vlidation at update-0: mean_flowtime_deterministic: 421.007858+/-68.341115	 mean_Entropy: 1.293109+/-0.046700	 record: 421.007858	 time_elapsed: 0.198993
Episode-1: ep_meanFlowTime: 506.718572	 all_loss: 1.638740	 p_loss: -1.728465	 e_loss: 1.239471	 v_loss: 3.277480	 v_mre: 106.288332	 grad_changes: 0.000000	 time_elapsed: 0.2192
Episode-2: ep_meanFlowTime: 380.981955	 all_loss: 0.968076	 p_loss: -1.300459	 e_loss: 1.251616	 v_loss: 1.936152	 v_mre: 108.682947	 grad_changes: 0.000000	 time_elapsed: 0.2408
Episode-3: ep_meanFlowTime: 396.874040	 all_loss: 1.249710	 p_loss: -1.318005	 e_loss: 1.317309	 v_loss: 2.499421	 v_mre: 116.838256	 grad_changes: 0.000000	 time_elapsed: 0.2595
Episode-4: ep_meanFlowTime: 447.675593	 all_loss: 1.299453	 p_loss: -1.549946	 e_loss: 1.323697	 v_loss: 2.598906	 v_mre: 106.931718	 grad_changes: 0.000000	 time_elapsed: 0.2789
Episode-5: ep_meanFlowTime: 439.124112	 all_loss: 1.351928	 p_loss: -1.518480	 e_loss: 1.242635	 v_loss: 2.703857	 v_mre: 107.611488	 grad_changes: 0.000000	 time_elapsed: 0.3000
Episode-6: ep_meanFlowTime: 428.641312	 all_loss: 1.423520	 p_loss: -1.495662	 e_loss: 1.314789	 v_loss: 2.847040	 v_mre: 122.151446	 grad_changes: 0.000000	 time_elapsed: 0.3188
Episode-7: ep_meanFlowTime: 224.003825	 all_loss: 0.361142	 p_loss: -0.803229	 e_loss: 1.282261	 v_loss: 0.722284	 v_mre: 114.672762	 grad_changes: 0.000000	 time_elapsed: 0.3370
Episode-8: ep_meanFlowTime: 479.341409	 all_loss: 1.647802	 p_loss: -1.635276	 e_loss: 1.265595	 v_loss: 3.295603	 v_mre: 107.574422	 grad_changes: 0.000000	 time_elapsed: 0.3569
Episode-9: ep_meanFlowTime: 256.135092	 all_loss: 0.555431	 p_loss: -0.940043	 e_loss: 1.261249	 v_loss: 1.110863	 v_mre: 114.750458	 grad_changes: 0.000000	 time_elapsed: 0.3768
Episode-10: ep_meanFlowTime: 327.043196	 all_loss: 0.794237	 p_loss: -1.138596	 e_loss: 1.224818	 v_loss: 1.588475	 v_mre: 112.211910	 grad_changes: 0.000000	 time_elapsed: 0.3966
Episode-11: ep_meanFlowTime: 593.252589	 all_loss: 2.225684	 p_loss: -2.013943	 e_loss: 1.225314	 v_loss: 4.451368	 v_mre: 105.314866	 grad_changes: 0.000000	 time_elapsed: 0.4182
Episode-12: ep_meanFlowTime: 367.995174	 all_loss: 1.091468	 p_loss: -1.314633	 e_loss: 1.188308	 v_loss: 2.182937	 v_mre: 110.110565	 grad_changes: 0.000000	 time_elapsed: 0.4389
Episode-13: ep_meanFlowTime: 478.538960	 all_loss: 1.602808	 p_loss: -1.582620	 e_loss: 1.211694	 v_loss: 3.205616	 v_mre: 129.429558	 grad_changes: 0.000000	 time_elapsed: 0.4589
Episode-14: ep_meanFlowTime: 386.216078	 all_loss: 0.884699	 p_loss: -1.194741	 e_loss: 1.275345	 v_loss: 1.769397	 v_mre: 111.148602	 grad_changes: 0.000000	 time_elapsed: 0.4784
Episode-15: ep_meanFlowTime: 468.735847	 all_loss: 1.485957	 p_loss: -1.641903	 e_loss: 1.235939	 v_loss: 2.971914	 v_mre: 106.570725	 grad_changes: 0.000000	 time_elapsed: 0.4986
Episode-16: ep_meanFlowTime: 308.891660	 all_loss: 0.598501	 p_loss: -0.977289	 e_loss: 1.256699	 v_loss: 1.197003	 v_mre: 118.013146	 grad_changes: 0.000000	 time_elapsed: 0.5180
Episode-17: ep_meanFlowTime: 504.342636	 all_loss: 1.766043	 p_loss: -1.684860	 e_loss: 1.262916	 v_loss: 3.532086	 v_mre: 108.276888	 grad_changes: 0.000000	 time_elapsed: 0.5387
Episode-18: ep_meanFlowTime: 532.470179	 all_loss: 1.786404	 p_loss: -1.808708	 e_loss: 1.262590	 v_loss: 3.572809	 v_mre: 105.983358	 grad_changes: 0.000000	 time_elapsed: 0.5581
Episode-19: ep_meanFlowTime: 442.498927	 all_loss: 1.486696	 p_loss: -1.493087	 e_loss: 1.292910	 v_loss: 2.973393	 v_mre: 112.124928	 grad_changes: 0.000000	 time_elapsed: 0.5771
Episode-20: ep_meanFlowTime: 418.570269	 all_loss: 1.203030	 p_loss: -1.433235	 e_loss: 1.257719	 v_loss: 2.406059	 v_mre: 108.163993	 grad_changes: 0.000000	 time_elapsed: 0.5981
Vlidation at update-20: mean_flowtime_deterministic: 421.007858+/-68.341115	 mean_Entropy: 1.293124+/-0.046695	 record: 421.007858	 time_elapsed: 0.7119
Episode-21: ep_meanFlowTime: 447.711682	 all_loss: 1.495079	 p_loss: -1.527426	 e_loss: 1.247614	 v_loss: 2.990159	 v_mre: 109.498843	 grad_changes: 0.000000	 time_elapsed: 0.7313
Episode-22: ep_meanFlowTime: 462.254075	 all_loss: 1.338929	 p_loss: -1.572995	 e_loss: 1.221448	 v_loss: 2.677858	 v_mre: 106.753114	 grad_changes: 0.000000	 time_elapsed: 0.7521
Episode-23: ep_meanFlowTime: 453.165074	 all_loss: 1.470554	 p_loss: -1.561809	 e_loss: 1.270946	 v_loss: 2.941109	 v_mre: 108.093604	 grad_changes: 0.000000	 time_elapsed: 0.7729
Episode-24: ep_meanFlowTime: 590.911893	 all_loss: 2.460906	 p_loss: -2.069874	 e_loss: 1.269547	 v_loss: 4.921811	 v_mre: 105.730754	 grad_changes: 0.000000	 time_elapsed: 0.7942
Episode-25: ep_meanFlowTime: 430.666863	 all_loss: 1.324574	 p_loss: -1.521072	 e_loss: 1.194716	 v_loss: 2.649147	 v_mre: 108.433121	 grad_changes: 0.000000	 time_elapsed: 0.8144
Episode-26: ep_meanFlowTime: 373.959314	 all_loss: 1.028577	 p_loss: -1.230578	 e_loss: 1.242410	 v_loss: 2.057154	 v_mre: 152.016802	 grad_changes: 0.000000	 time_elapsed: 0.8341
Episode-27: ep_meanFlowTime: 430.097376	 all_loss: 1.379105	 p_loss: -1.508689	 e_loss: 1.237579	 v_loss: 2.758210	 v_mre: 108.161807	 grad_changes: 0.000000	 time_elapsed: 0.8542
Episode-28: ep_meanFlowTime: 509.730735	 all_loss: 2.025873	 p_loss: -1.769003	 e_loss: 1.241963	 v_loss: 4.051746	 v_mre: 131.305443	 grad_changes: 0.000000	 time_elapsed: 0.8739
Episode-29: ep_meanFlowTime: 489.713177	 all_loss: 1.684698	 p_loss: -1.700591	 e_loss: 1.291637	 v_loss: 3.369395	 v_mre: 106.690612	 grad_changes: 0.000000	 time_elapsed: 0.8944
Episode-30: ep_meanFlowTime: 610.888680	 all_loss: 2.538779	 p_loss: -2.132752	 e_loss: 1.263592	 v_loss: 5.077558	 v_mre: 105.076357	 grad_changes: 0.000000	 time_elapsed: 0.9151
Episode-31: ep_meanFlowTime: 385.904241	 all_loss: 1.067309	 p_loss: -1.301297	 e_loss: 1.212119	 v_loss: 2.134619	 v_mre: 110.777157	 grad_changes: 0.000000	 time_elapsed: 0.9354
Episode-32: ep_meanFlowTime: 302.785218	 all_loss: 0.635266	 p_loss: -1.049352	 e_loss: 1.286457	 v_loss: 1.270532	 v_mre: 112.514077	 grad_changes: 0.000000	 time_elapsed: 0.9541
Episode-33: ep_meanFlowTime: 344.914243	 all_loss: 0.907903	 p_loss: -1.236592	 e_loss: 1.293813	 v_loss: 1.815807	 v_mre: 109.538799	 grad_changes: 0.000000	 time_elapsed: 0.9735
Episode-34: ep_meanFlowTime: 380.199932	 all_loss: 1.273688	 p_loss: -1.363206	 e_loss: 1.209155	 v_loss: 2.547376	 v_mre: 131.401045	 grad_changes: 0.000000	 time_elapsed: 0.9944
Episode-35: ep_meanFlowTime: 378.585440	 all_loss: 1.098399	 p_loss: -1.343169	 e_loss: 1.269395	 v_loss: 2.196798	 v_mre: 140.594601	 grad_changes: 0.000000	 time_elapsed: 1.0144
Episode-36: ep_meanFlowTime: 398.878894	 all_loss: 1.151458	 p_loss: -1.392668	 e_loss: 1.203131	 v_loss: 2.302915	 v_mre: 116.550793	 grad_changes: 0.000000	 time_elapsed: 1.0343
Episode-37: ep_meanFlowTime: 339.001406	 all_loss: 0.967764	 p_loss: -1.258379	 e_loss: 1.276883	 v_loss: 1.935528	 v_mre: 110.119785	 grad_changes: 0.000000	 time_elapsed: 1.0538
