Vlidation at HEFT: mean_flowtime_deterministic: 521.875939+/-75.079270	 time_elapsed: 0.006670
Vlidation at update-0: mean_flowtime_deterministic: 421.007858+/-68.341115	 mean_Entropy: 1.293118+/-0.046699	 record: 421.007858	 time_elapsed: 0.018074
Episode-1: ep_meanFlowTime: 537.839637	 all_loss: 0.376594	 p_loss: -1.836583	 e_loss: 1.039100	 v_loss: 0.750872	 v_mre: 42.343191	 grad_changes: 0.000327	 time_elapsed: 0.0304
Episode-2: ep_meanFlowTime: 377.220376	 all_loss: 0.111275	 p_loss: 0.582671	 e_loss: 1.036930	 v_loss: 0.222550	 v_mre: 42.211372	 grad_changes: 0.000000	 time_elapsed: 0.0409
Episode-3: ep_meanFlowTime: 388.833006	 all_loss: 0.274792	 p_loss: -0.024605	 e_loss: 1.047293	 v_loss: 0.549585	 v_mre: 251.205091	 grad_changes: 0.000000	 time_elapsed: 0.0506
Episode-4: ep_meanFlowTime: 440.838805	 all_loss: 0.117861	 p_loss: -0.382313	 e_loss: 1.049964	 v_loss: 0.235263	 v_mre: 31.932005	 grad_changes: 0.000057	 time_elapsed: 0.0595
Episode-5: ep_meanFlowTime: 419.629169	 all_loss: 0.076269	 p_loss: -0.090563	 e_loss: 1.012836	 v_loss: 0.152539	 v_mre: 23.599509	 grad_changes: 0.000000	 time_elapsed: 0.0683
Episode-6: ep_meanFlowTime: 423.352597	 all_loss: 0.139533	 p_loss: 0.140459	 e_loss: 0.989761	 v_loss: 0.279066	 v_mre: 68.837063	 grad_changes: 0.000000	 time_elapsed: 0.0778
Episode-7: ep_meanFlowTime: 227.944570	 all_loss: 0.032604	 p_loss: 0.293856	 e_loss: 1.015322	 v_loss: 0.064741	 v_mre: 32.479642	 grad_changes: 0.000035	 time_elapsed: 0.0862
Episode-8: ep_meanFlowTime: 492.684519	 all_loss: 0.171481	 p_loss: -0.653524	 e_loss: 0.934808	 v_loss: 0.342962	 v_mre: 207.869776	 grad_changes: 0.000000	 time_elapsed: 0.0965
Episode-9: ep_meanFlowTime: 245.687023	 all_loss: 0.053829	 p_loss: 0.595664	 e_loss: 0.979817	 v_loss: 0.107659	 v_mre: 44.125080	 grad_changes: 0.000000	 time_elapsed: 0.1065
Episode-10: ep_meanFlowTime: 328.393919	 all_loss: 0.077168	 p_loss: -0.190320	 e_loss: 0.903317	 v_loss: 0.154336	 v_mre: 39.960283	 grad_changes: 0.000000	 time_elapsed: 0.1173
Episode-11: ep_meanFlowTime: 600.410358	 all_loss: 0.102947	 p_loss: -0.297421	 e_loss: 0.914755	 v_loss: 0.205894	 v_mre: 20.039870	 grad_changes: 0.000000	 time_elapsed: 0.1301
Episode-12: ep_meanFlowTime: 346.758346	 all_loss: 0.071039	 p_loss: 0.468480	 e_loss: 0.910474	 v_loss: 0.142078	 v_mre: 31.072377	 grad_changes: 0.000000	 time_elapsed: 0.1406
Episode-13: ep_meanFlowTime: 449.608364	 all_loss: 0.156257	 p_loss: -0.233392	 e_loss: 0.887697	 v_loss: 0.312514	 v_mre: 49.930979	 grad_changes: 0.000000	 time_elapsed: 0.1509
Episode-14: ep_meanFlowTime: 401.628781	 all_loss: 0.062192	 p_loss: 0.243080	 e_loss: 0.944878	 v_loss: 0.124385	 v_mre: 25.070692	 grad_changes: 0.000000	 time_elapsed: 0.1603
Episode-15: ep_meanFlowTime: 433.263970	 all_loss: 0.058506	 p_loss: -0.229590	 e_loss: 0.930148	 v_loss: 0.117011	 v_mre: 22.283623	 grad_changes: 0.000000	 time_elapsed: 0.1698
Episode-16: ep_meanFlowTime: 303.484842	 all_loss: 0.045627	 p_loss: 0.349762	 e_loss: 0.953997	 v_loss: 0.091253	 v_mre: 35.465280	 grad_changes: 0.000000	 time_elapsed: 0.1788
Episode-17: ep_meanFlowTime: 472.237420	 all_loss: 0.050256	 p_loss: -0.403393	 e_loss: 0.962004	 v_loss: 0.100512	 v_mre: 22.225850	 grad_changes: 0.000000	 time_elapsed: 0.1879
Episode-18: ep_meanFlowTime: 543.985088	 all_loss: 0.069545	 p_loss: 0.057967	 e_loss: 0.911677	 v_loss: 0.139089	 v_mre: 15.327948	 grad_changes: 0.000000	 time_elapsed: 0.1991
Episode-19: ep_meanFlowTime: 456.158602	 all_loss: 0.084700	 p_loss: -0.041144	 e_loss: 0.926357	 v_loss: 0.169401	 v_mre: 31.896130	 grad_changes: 0.000000	 time_elapsed: 0.2098
Episode-20: ep_meanFlowTime: 412.248365	 all_loss: 0.149667	 p_loss: -0.256627	 e_loss: 0.961076	 v_loss: 0.299334	 v_mre: 54.734042	 grad_changes: 0.000000	 time_elapsed: 0.2196
Vlidation at update-20: mean_flowtime_deterministic: 420.537538+/-69.373484	 mean_Entropy: 0.953479+/-0.036513	 record: 420.537538	 time_elapsed: 0.2317
Episode-21: ep_meanFlowTime: 430.321627	 all_loss: 0.071580	 p_loss: -0.078757	 e_loss: 0.929141	 v_loss: 0.143161	 v_mre: 26.464469	 grad_changes: 0.000000	 time_elapsed: 0.2423
Episode-22: ep_meanFlowTime: 441.672302	 all_loss: 0.082901	 p_loss: 0.120975	 e_loss: 0.904110	 v_loss: 0.165803	 v_mre: 25.630400	 grad_changes: 0.000000	 time_elapsed: 0.2535
Episode-23: ep_meanFlowTime: 432.535086	 all_loss: 0.047185	 p_loss: -0.023246	 e_loss: 0.950251	 v_loss: 0.094371	 v_mre: 19.535141	 grad_changes: 0.000000	 time_elapsed: 0.2635
Episode-24: ep_meanFlowTime: 588.930239	 all_loss: 0.139461	 p_loss: -0.180868	 e_loss: 0.942863	 v_loss: 0.278921	 v_mre: 27.318928	 grad_changes: 0.000000	 time_elapsed: 0.2747
Episode-25: ep_meanFlowTime: 412.974491	 all_loss: 0.052990	 p_loss: 0.266653	 e_loss: 0.913261	 v_loss: 0.105980	 v_mre: 27.044491	 grad_changes: 0.000000	 time_elapsed: 0.2848
Episode-26: ep_meanFlowTime: 399.204265	 all_loss: 0.050141	 p_loss: 0.137135	 e_loss: 0.896131	 v_loss: 0.100283	 v_mre: 87.407668	 grad_changes: 0.000000	 time_elapsed: 0.2961
Episode-27: ep_meanFlowTime: 419.843361	 all_loss: 0.115273	 p_loss: -0.261777	 e_loss: 0.922852	 v_loss: 0.230546	 v_mre: 35.233223	 grad_changes: 0.000000	 time_elapsed: 0.3059
Episode-28: ep_meanFlowTime: 508.851500	 all_loss: 0.179675	 p_loss: -0.264636	 e_loss: 0.933675	 v_loss: 0.359351	 v_mre: 146.353993	 grad_changes: 0.000000	 time_elapsed: 0.3157
Episode-29: ep_meanFlowTime: 475.701315	 all_loss: 0.161383	 p_loss: 0.449009	 e_loss: 0.949108	 v_loss: 0.322766	 v_mre: 36.731256	 grad_changes: 0.000000	 time_elapsed: 0.3262
Episode-30: ep_meanFlowTime: 580.741143	 all_loss: 0.108303	 p_loss: -0.341074	 e_loss: 0.961457	 v_loss: 0.216606	 v_mre: 17.604377	 grad_changes: 0.000000	 time_elapsed: 0.3368
Episode-31: ep_meanFlowTime: 340.192443	 all_loss: 0.044547	 p_loss: 0.291366	 e_loss: 0.903405	 v_loss: 0.089094	 v_mre: 26.574310	 grad_changes: 0.000000	 time_elapsed: 0.3464
Episode-32: ep_meanFlowTime: 302.256445	 all_loss: 0.037236	 p_loss: 0.223768	 e_loss: 0.956288	 v_loss: 0.074472	 v_mre: 37.607418	 grad_changes: 0.000000	 time_elapsed: 0.3562
Episode-33: ep_meanFlowTime: 338.363861	 all_loss: 0.062001	 p_loss: -0.191507	 e_loss: 0.996690	 v_loss: 0.124003	 v_mre: 26.882514	 grad_changes: 0.000000	 time_elapsed: 0.3656
Episode-34: ep_meanFlowTime: 358.990685	 all_loss: 0.049009	 p_loss: -0.076025	 e_loss: 0.961340	 v_loss: 0.098018	 v_mre: 109.758129	 grad_changes: 0.000000	 time_elapsed: 0.3748
Episode-35: ep_meanFlowTime: 389.162109	 all_loss: 0.068534	 p_loss: 0.301989	 e_loss: 0.932647	 v_loss: 0.137068	 v_mre: 134.688758	 grad_changes: 0.000000	 time_elapsed: 0.3861
Episode-36: ep_meanFlowTime: 382.449264	 all_loss: 0.039178	 p_loss: -0.192132	 e_loss: 0.921257	 v_loss: 0.078356	 v_mre: 37.271673	 grad_changes: 0.000000	 time_elapsed: 0.3956
Episode-37: ep_meanFlowTime: 346.621254	 all_loss: 0.114588	 p_loss: 0.108710	 e_loss: 0.943897	 v_loss: 0.229176	 v_mre: 32.615274	 grad_changes: 0.000000	 time_elapsed: 0.4059
Episode-38: ep_meanFlowTime: 456.495581	 all_loss: 0.127112	 p_loss: -0.306643	 e_loss: 0.969632	 v_loss: 0.254224	 v_mre: 38.352063	 grad_changes: 0.000000	 time_elapsed: 0.4159
Episode-39: ep_meanFlowTime: 502.005946	 all_loss: 0.089933	 p_loss: 0.106314	 e_loss: 0.905988	 v_loss: 0.179866	 v_mre: 62.785928	 grad_changes: 0.000000	 time_elapsed: 0.4264
