==================================================
Watchdog start: Sat May 16 07:22:48 PM CST 2026
Run dir: /home/xue/GOODRL/runs/20260516_pointer_full
Args: --vm_types 5 --each_vm_type_num 5 --arr_rate 5.4 --lr_a 0.0001 --lr_c 0.001 --warmup_critic 500 --max_updates 1000 --grad_control 0 --algo_seed 3 --entloss_coef 0.01 --actor_pointer 1 --actor_atten_layers 0 --checkpoint_interval 50
==================================================
[Sat May 16 07:22:48 PM CST 2026] === Attempt 1: starting fresh ===
Vlidation at HEFT: mean_flowtime_deterministic: 521.875939+/-75.079270	 time_elapsed: 0.006689
Vlidation at update-0: mean_flowtime_deterministic: 464.320644+/-81.094342	 mean_Entropy: 3.218853+/-0.000003	 record: 464.320644	 time_elapsed: 0.015789
Episode-1: ep_meanFlowTime: 4517.251807	 all_loss: 120.618503	 p_loss: -16.159177	 e_loss: 3.179986	 v_loss: 241.173408	 v_mre: 117.946252	 grad_changes: 0.000378	 time_elapsed: 0.0369
Episode-2: ep_meanFlowTime: 1237.750186	 all_loss: 7.557167	 p_loss: 13.338646	 e_loss: 2.895443	 v_loss: 15.056425	 v_mre: 68.159464	 grad_changes: 0.001631	 time_elapsed: 0.0469
Episode-3: ep_meanFlowTime: 792.915703	 all_loss: 1.936339	 p_loss: 0.892378	 e_loss: 1.407467	 v_loss: 3.856182	 v_mre: 403.305067	 grad_changes: 0.002486	 time_elapsed: 0.0551
Episode-4: ep_meanFlowTime: 1687.143252	 all_loss: 4.024660	 p_loss: -3.115522	 e_loss: 0.814568	 v_loss: 8.049320	 v_mre: 43.147264	 grad_changes: 0.000000	 time_elapsed: 0.0649
Episode-5: ep_meanFlowTime: 1362.432239	 all_loss: 3.422019	 p_loss: 1.406760	 e_loss: 0.789545	 v_loss: 6.844258	 v_mre: 58.026589	 grad_changes: 0.000090	 time_elapsed: 0.0734
Episode-6: ep_meanFlowTime: 1919.513537	 all_loss: 10.962553	 p_loss: -2.163357	 e_loss: 0.873953	 v_loss: 21.925105	 v_mre: 96.653726	 grad_changes: 0.000000	 time_elapsed: 0.0850
Episode-7: ep_meanFlowTime: 1252.222999	 all_loss: 5.385318	 p_loss: 2.189231	 e_loss: 0.826919	 v_loss: 10.770637	 v_mre: 108.067006	 grad_changes: 0.000000	 time_elapsed: 0.0946
Episode-8: ep_meanFlowTime: 2643.384824	 all_loss: 31.490133	 p_loss: -4.726508	 e_loss: 0.844269	 v_loss: 62.980267	 v_mre: 673.991524	 grad_changes: 0.000000	 time_elapsed: 0.1102
Episode-9: ep_meanFlowTime: 1026.393885	 all_loss: 4.056508	 p_loss: 4.826332	 e_loss: 0.886492	 v_loss: 8.113016	 v_mre: 105.881684	 grad_changes: 0.000000	 time_elapsed: 0.1198
Episode-10: ep_meanFlowTime: 4172.085013	 all_loss: 75.997371	 p_loss: -11.280854	 e_loss: 0.907905	 v_loss: 151.994292	 v_mre: 180.792467	 grad_changes: 0.000247	 time_elapsed: 0.1449
Episode-11: ep_meanFlowTime: 4317.725176	 all_loss: 63.993087	 p_loss: -2.881999	 e_loss: 0.867689	 v_loss: 127.986174	 v_mre: 178.115233	 grad_changes: 0.000000	 time_elapsed: 0.1703
Episode-12: ep_meanFlowTime: 3174.135698	 all_loss: 72.687638	 p_loss: 4.528963	 e_loss: 0.878177	 v_loss: 145.375276	 v_mre: 164.670103	 grad_changes: 0.000000	 time_elapsed: 0.1849
Episode-13: ep_meanFlowTime: 3194.366195	 all_loss: 39.729055	 p_loss: -0.019914	 e_loss: 0.887913	 v_loss: 79.457818	 v_mre: 101.438586	 grad_changes: 0.000594	 time_elapsed: 0.1998
Episode-14: ep_meanFlowTime: 1781.970983	 all_loss: 6.026429	 p_loss: -2.331777	 e_loss: 0.887907	 v_loss: 12.051916	 v_mre: 52.802360	 grad_changes: 0.000573	 time_elapsed: 0.2100
Episode-15: ep_meanFlowTime: 2691.087618	 all_loss: 17.732017	 p_loss: -2.550173	 e_loss: 0.780095	 v_loss: 35.464034	 v_mre: 97.695818	 grad_changes: 0.000000	 time_elapsed: 0.2244
Episode-16: ep_meanFlowTime: 1399.079357	 all_loss: 2.668385	 p_loss: 3.606018	 e_loss: 0.771467	 v_loss: 5.336968	 v_mre: 51.170774	 grad_changes: 0.000075	 time_elapsed: 0.2337
Episode-17: ep_meanFlowTime: 1805.846130	 all_loss: 5.135416	 p_loss: -0.740708	 e_loss: 0.876865	 v_loss: 10.270831	 v_mre: 78.604695	 grad_changes: 0.000000	 time_elapsed: 0.2437
Episode-18: ep_meanFlowTime: 2943.151845	 all_loss: 17.448025	 p_loss: -4.088957	 e_loss: 0.917764	 v_loss: 34.896050	 v_mre: 53.277633	 grad_changes: 0.000000	 time_elapsed: 0.2597
Episode-19: ep_meanFlowTime: 2894.760196	 all_loss: 11.600958	 p_loss: 0.449058	 e_loss: 0.900774	 v_loss: 23.201916	 v_mre: 67.515050	 grad_changes: 0.000000	 time_elapsed: 0.2757
Episode-20: ep_meanFlowTime: 1767.172835	 all_loss: 6.050397	 p_loss: 0.301031	 e_loss: 0.876259	 v_loss: 12.100793	 v_mre: 85.645246	 grad_changes: 0.000000	 time_elapsed: 0.2880
Vlidation at update-20: mean_flowtime_deterministic: 7966.213757+/-3389.408336	 mean_Entropy: 0.689727+/-0.035557	 record: 464.320644	 time_elapsed: 0.3190
Episode-21: ep_meanFlowTime: 2443.545541	 all_loss: 11.544279	 p_loss: -2.325524	 e_loss: 0.803171	 v_loss: 23.088558	 v_mre: 63.036694	 grad_changes: 0.000000	 time_elapsed: 0.3308
Episode-22: ep_meanFlowTime: 2545.077727	 all_loss: 9.252589	 p_loss: 0.568856	 e_loss: 0.841159	 v_loss: 18.505177	 v_mre: 42.299035	 grad_changes: 0.000000	 time_elapsed: 0.3440
Episode-23: ep_meanFlowTime: 2291.708301	 all_loss: 11.096196	 p_loss: -0.337564	 e_loss: 0.865727	 v_loss: 22.192607	 v_mre: 77.070402	 grad_changes: 0.000185	 time_elapsed: 0.3575
Episode-24: ep_meanFlowTime: 2921.912973	 all_loss: 10.254694	 p_loss: -0.962682	 e_loss: 0.958445	 v_loss: 20.508419	 v_mre: 52.708705	 grad_changes: 0.000371	 time_elapsed: 0.3766
Episode-25: ep_meanFlowTime: 2785.721950	 all_loss: 10.729381	 p_loss: -1.312530	 e_loss: 0.737119	 v_loss: 21.459391	 v_mre: 38.120452	 grad_changes: 0.000146	 time_elapsed: 0.3897
Episode-26: ep_meanFlowTime: 2433.349243	 all_loss: 11.493115	 p_loss: 2.026871	 e_loss: 0.872984	 v_loss: 22.986230	 v_mre: 314.167022	 grad_changes: 0.000000	 time_elapsed: 0.4053
Episode-27: ep_meanFlowTime: 2593.536121	 all_loss: 6.672201	 p_loss: -1.052925	 e_loss: 0.813275	 v_loss: 13.344609	 v_mre: 35.495404	 grad_changes: 0.000058	 time_elapsed: 0.4182
Episode-28: ep_meanFlowTime: 2273.472043	 all_loss: 13.374436	 p_loss: 0.838997	 e_loss: 0.898962	 v_loss: 26.748872	 v_mre: 361.364891	 grad_changes: 0.000000	 time_elapsed: 0.4298
Episode-29: ep_meanFlowTime: 1734.879337	 all_loss: 2.746614	 p_loss: 0.322902	 e_loss: 0.924977	 v_loss: 5.493228	 v_mre: 34.410499	 grad_changes: 0.000000	 time_elapsed: 0.4417
Episode-30: ep_meanFlowTime: 2558.858798	 all_loss: 8.996908	 p_loss: -2.479077	 e_loss: 0.924981	 v_loss: 17.993343	 v_mre: 38.969814	 grad_changes: 0.000087	 time_elapsed: 0.4548
Episode-31: ep_meanFlowTime: 1819.665890	 all_loss: 3.331941	 p_loss: 1.447991	 e_loss: 0.805018	 v_loss: 6.664087	 v_mre: 36.806682	 grad_changes: 0.000058	 time_elapsed: 0.4660
Episode-32: ep_meanFlowTime: 1445.147069	 all_loss: 6.042773	 p_loss: 0.683639	 e_loss: 0.865222	 v_loss: 12.085546	 v_mre: 91.208846	 grad_changes: 0.000000	 time_elapsed: 0.4769
Episode-33: ep_meanFlowTime: 1089.983613	 all_loss: 1.097967	 p_loss: -0.629626	 e_loss: 0.926804	 v_loss: 2.195460	 v_mre: 34.086904	 grad_changes: 0.000105	 time_elapsed: 0.4864
Episode-34: ep_meanFlowTime: 1461.840352	 all_loss: 2.160799	 p_loss: -0.726817	 e_loss: 0.914979	 v_loss: 4.321816	 v_mre: 48.723506	 grad_changes: 0.000109	 time_elapsed: 0.4960
Episode-35: ep_meanFlowTime: 1840.306909	 all_loss: 6.356860	 p_loss: -1.059676	 e_loss: 0.979384	 v_loss: 12.713267	 v_mre: 271.244548	 grad_changes: 0.000186	 time_elapsed: 0.5108
Episode-36: ep_meanFlowTime: 2792.474845	 all_loss: 9.468706	 p_loss: -1.886714	 e_loss: 0.826484	 v_loss: 18.937628	 v_mre: 42.415083	 grad_changes: 0.000060	 time_elapsed: 0.5242
Episode-37: ep_meanFlowTime: 1770.438512	 all_loss: 4.419185	 p_loss: -0.431695	 e_loss: 0.933770	 v_loss: 8.838370	 v_mre: 49.664357	 grad_changes: 0.000000	 time_elapsed: 0.5375
Episode-38: ep_meanFlowTime: 1554.717642	 all_loss: 4.677584	 p_loss: 2.943907	 e_loss: 0.955473	 v_loss: 9.355168	 v_mre: 75.032291	 grad_changes: 0.000000	 time_elapsed: 0.5496
Episode-39: ep_meanFlowTime: 2863.745499	 all_loss: 22.088083	 p_loss: -3.623830	 e_loss: 0.951503	 v_loss: 44.176166	 v_mre: 374.829227	 grad_changes: 0.000000	 time_elapsed: 0.5678
Episode-40: ep_meanFlowTime: 1573.033275	 all_loss: 4.137784	 p_loss: 2.985737	 e_loss: 0.900608	 v_loss: 8.275568	 v_mre: 39.269951	 grad_changes: 0.000000	 time_elapsed: 0.5780
Vlidation at update-40: mean_flowtime_deterministic: 7203.055920+/-2878.732490	 mean_Entropy: 0.838750+/-0.039100	 record: 464.320644	 time_elapsed: 0.6085
Episode-41: ep_meanFlowTime: 1530.658033	 all_loss: 2.128805	 p_loss: -0.086187	 e_loss: 0.847295	 v_loss: 4.257609	 v_mre: 34.102542	 grad_changes: 0.000000	 time_elapsed: 0.6191
Episode-42: ep_meanFlowTime: 1988.388626	 all_loss: 10.803071	 p_loss: -0.986548	 e_loss: 0.978255	 v_loss: 21.606143	 v_mre: 67.254395	 grad_changes: 0.000000	 time_elapsed: 0.6342
Episode-43: ep_meanFlowTime: 1190.767084	 all_loss: 1.544807	 p_loss: 0.815862	 e_loss: 0.935831	 v_loss: 3.089615	 v_mre: 80.497582	 grad_changes: 0.000000	 time_elapsed: 0.6445
Episode-44: ep_meanFlowTime: 1283.206885	 all_loss: 2.743714	 p_loss: -0.660435	 e_loss: 0.918481	 v_loss: 5.487428	 v_mre: 140.491125	 grad_changes: 0.000000	 time_elapsed: 0.6545
Episode-45: ep_meanFlowTime: 2829.861547	 all_loss: 12.794461	 p_loss: -3.265337	 e_loss: 0.905025	 v_loss: 25.588921	 v_mre: 55.824993	 grad_changes: 0.000000	 time_elapsed: 0.6725
Episode-46: ep_meanFlowTime: 2835.772737	 all_loss: 13.421234	 p_loss: 0.846039	 e_loss: 1.013850	 v_loss: 26.842028	 v_mre: 163.093862	 grad_changes: 0.000087	 time_elapsed: 0.6973
Episode-47: ep_meanFlowTime: 2216.758017	 all_loss: 11.076765	 p_loss: 0.316021	 e_loss: 0.860045	 v_loss: 22.153530	 v_mre: 76.549598	 grad_changes: 0.000000	 time_elapsed: 0.7116
Episode-48: ep_meanFlowTime: 1443.990746	 all_loss: 3.823979	 p_loss: 0.726346	 e_loss: 0.854923	 v_loss: 7.647957	 v_mre: 489.445481	 grad_changes: 0.000000	 time_elapsed: 0.7233
Episode-49: ep_meanFlowTime: 1354.293919	 all_loss: 2.642768	 p_loss: 0.661352	 e_loss: 0.828581	 v_loss: 5.285536	 v_mre: 203.796388	 grad_changes: 0.000000	 time_elapsed: 0.7337
Episode-50: ep_meanFlowTime: 2041.763646	 all_loss: 5.733823	 p_loss: -1.079646	 e_loss: 0.864390	 v_loss: 11.467819	 v_mre: 53.760738	 grad_changes: 0.000061	 time_elapsed: 0.7499
Episode-51: ep_meanFlowTime: 4149.007862	 all_loss: 30.025669	 p_loss: -6.855627	 e_loss: 1.034338	 v_loss: 60.051339	 v_mre: 52.183086	 grad_changes: 0.000000	 time_elapsed: 0.7750
Episode-52: ep_meanFlowTime: 3133.066527	 all_loss: 14.585923	 p_loss: 1.579846	 e_loss: 0.904169	 v_loss: 29.171846	 v_mre: 48.041395	 grad_changes: 0.000000	 time_elapsed: 0.7936
Episode-53: ep_meanFlowTime: 1328.042069	 all_loss: 4.272450	 p_loss: 1.457144	 e_loss: 0.921544	 v_loss: 8.544900	 v_mre: 63.799875	 grad_changes: 0.000000	 time_elapsed: 0.8042
Episode-54: ep_meanFlowTime: 1842.585976	 all_loss: 4.022919	 p_loss: -0.437241	 e_loss: 1.019240	 v_loss: 8.045384	 v_mre: 40.914621	 grad_changes: 0.000094	 time_elapsed: 0.8195
Episode-55: ep_meanFlowTime: 2576.380846	 all_loss: 8.961213	 p_loss: -2.106172	 e_loss: 0.852024	 v_loss: 17.922426	 v_mre: 37.081421	 grad_changes: 0.000000	 time_elapsed: 0.8344
Episode-56: ep_meanFlowTime: 1422.749480	 all_loss: 3.745375	 p_loss: 3.329935	 e_loss: 0.796059	 v_loss: 7.490751	 v_mre: 49.001538	 grad_changes: 0.000000	 time_elapsed: 0.8445
Episode-57: ep_meanFlowTime: 3345.580175	 all_loss: 27.682638	 p_loss: -6.653178	 e_loss: 0.827427	 v_loss: 55.365490	 v_mre: 55.244350	 grad_changes: 0.000064	 time_elapsed: 0.8611
Episode-58: ep_meanFlowTime: 1146.532322	 all_loss: 2.639209	 p_loss: 1.633508	 e_loss: 0.977131	 v_loss: 5.278417	 v_mre: 311.750222	 grad_changes: 0.000000	 time_elapsed: 0.8727
Episode-59: ep_meanFlowTime: 2056.588647	 all_loss: 5.447457	 p_loss: -1.943104	 e_loss: 0.985618	 v_loss: 10.894914	 v_mre: 43.588674	 grad_changes: 0.000000	 time_elapsed: 0.8876
Episode-60: ep_meanFlowTime: 1886.570382	 all_loss: 4.401362	 p_loss: -0.362793	 e_loss: 0.885608	 v_loss: 8.802724	 v_mre: 44.557176	 grad_changes: 0.000000	 time_elapsed: 0.9007
Vlidation at update-60: mean_flowtime_deterministic: 7137.468672+/-2877.522606	 mean_Entropy: 0.851631+/-0.036300	 record: 464.320644	 time_elapsed: 0.9314
