==================================================
Watchdog start: Mon May 18 09:51:42 PM CST 2026
Run dir: /home/xue/GOODRL/runs/20260518_gatv2_heft_baseline_6_4_9
Args: --vm_types 6 --each_vm_type_num 4 --arr_rate 9 --lr_a 0.0001 --lr_c 0.001 --warmup_critic 500 --max_updates 1000 --grad_control 0 --algo_seed 3 --entloss_coef 0.01 --actor_pointer 0 --actor_atten_layers 0 --checkpoint_interval 20
==================================================
[Mon May 18 09:51:42 PM CST 2026] === Attempt 1: starting fresh ===
Vlidation at HEFT: mean_flowtime_deterministic: 363.598782+/-54.009649	 time_elapsed: 0.006627
Vlidation at update-0: mean_flowtime_deterministic: 310.766864+/-50.775340	 mean_Entropy: 1.871107+/-0.052734	 record: 310.766864	 time_elapsed: 0.015765
Episode-1: ep_meanFlowTime: 514.854201	 all_loss: 0.566026	 p_loss: -1.945777	 e_loss: 1.287064	 v_loss: 1.115458	 v_mre: 58.700550	 grad_changes: 0.002582	 time_elapsed: 0.0269
Episode-2: ep_meanFlowTime: 289.228578	 all_loss: 0.082246	 p_loss: 0.678327	 e_loss: 1.141011	 v_loss: 0.155465	 v_mre: 43.348349	 grad_changes: 0.000970	 time_elapsed: 0.0352
Episode-3: ep_meanFlowTime: 333.974483	 all_loss: 0.277747	 p_loss: -0.154568	 e_loss: 1.052829	 v_loss: 0.554563	 v_mre: 360.996067	 grad_changes: 0.000129	 time_elapsed: 0.0435
Episode-4: ep_meanFlowTime: 339.483201	 all_loss: 0.058089	 p_loss: 0.013124	 e_loss: 1.052976	 v_loss: 0.115266	 v_mre: 27.254940	 grad_changes: 0.000132	 time_elapsed: 0.0514
Episode-5: ep_meanFlowTime: 340.433522	 all_loss: 0.044047	 p_loss: -0.032685	 e_loss: 1.046585	 v_loss: 0.087184	 v_mre: 25.028203	 grad_changes: 0.000118	 time_elapsed: 0.0592
Episode-6: ep_meanFlowTime: 380.051564	 all_loss: 0.106495	 p_loss: 0.098134	 e_loss: 0.993393	 v_loss: 0.212991	 v_mre: 42.971960	 grad_changes: 0.000000	 time_elapsed: 0.0677
Episode-7: ep_meanFlowTime: 241.798168	 all_loss: 0.033756	 p_loss: 0.340985	 e_loss: 0.994455	 v_loss: 0.067513	 v_mre: 29.817410	 grad_changes: 0.000000	 time_elapsed: 0.0753
Episode-8: ep_meanFlowTime: 497.741069	 all_loss: 0.200337	 p_loss: -0.722785	 e_loss: 1.005470	 v_loss: 0.400673	 v_mre: 204.745444	 grad_changes: 0.000000	 time_elapsed: 0.0848
Episode-9: ep_meanFlowTime: 227.603841	 all_loss: 0.034243	 p_loss: 0.352673	 e_loss: 1.041348	 v_loss: 0.067585	 v_mre: 37.132797	 grad_changes: 0.000091	 time_elapsed: 0.0925
Episode-10: ep_meanFlowTime: 992.509170	 all_loss: 2.407299	 p_loss: -2.248611	 e_loss: 0.749284	 v_loss: 4.814598	 v_mre: 77.882879	 grad_changes: 0.000000	 time_elapsed: 0.1081
Episode-11: ep_meanFlowTime: 1428.602820	 all_loss: 5.606150	 p_loss: -1.995199	 e_loss: 0.761224	 v_loss: 11.212300	 v_mre: 59.128272	 grad_changes: 0.000000	 time_elapsed: 0.1275
Episode-12: ep_meanFlowTime: 508.539568	 all_loss: 0.517158	 p_loss: 0.359868	 e_loss: 0.996556	 v_loss: 1.033872	 v_mre: 66.616503	 grad_changes: 0.000023	 time_elapsed: 0.1392
Episode-13: ep_meanFlowTime: 493.063381	 all_loss: 0.318907	 p_loss: 0.870919	 e_loss: 0.970415	 v_loss: 0.637814	 v_mre: 62.663220	 grad_changes: 0.000000	 time_elapsed: 0.1494
Episode-14: ep_meanFlowTime: 391.456932	 all_loss: 0.104320	 p_loss: 0.408045	 e_loss: 0.957868	 v_loss: 0.208641	 v_mre: 36.589669	 grad_changes: 0.000000	 time_elapsed: 0.1584
Episode-15: ep_meanFlowTime: 418.170842	 all_loss: 0.127881	 p_loss: 0.041318	 e_loss: 0.868048	 v_loss: 0.255763	 v_mre: 34.623463	 grad_changes: 0.000000	 time_elapsed: 0.1671
Episode-16: ep_meanFlowTime: 380.864360	 all_loss: 0.137794	 p_loss: 0.067314	 e_loss: 0.905989	 v_loss: 0.275587	 v_mre: 36.308796	 grad_changes: 0.000000	 time_elapsed: 0.1760
Episode-17: ep_meanFlowTime: 488.389716	 all_loss: 0.215182	 p_loss: -0.106120	 e_loss: 0.881802	 v_loss: 0.430363	 v_mre: 35.211539	 grad_changes: 0.000000	 time_elapsed: 0.1847
Episode-18: ep_meanFlowTime: 631.361385	 all_loss: 0.259724	 p_loss: -0.211383	 e_loss: 0.882012	 v_loss: 0.519448	 v_mre: 27.195616	 grad_changes: 0.000000	 time_elapsed: 0.1952
Episode-19: ep_meanFlowTime: 705.670599	 all_loss: 0.655969	 p_loss: -0.252910	 e_loss: 0.760756	 v_loss: 1.311938	 v_mre: 61.979850	 grad_changes: 0.000000	 time_elapsed: 0.2057
Episode-20: ep_meanFlowTime: 375.043346	 all_loss: 0.137123	 p_loss: 0.171357	 e_loss: 1.003605	 v_loss: 0.274246	 v_mre: 54.796021	 grad_changes: 0.000000	 time_elapsed: 0.2154
Vlidation at update-20: mean_flowtime_deterministic: 470.759773+/-125.652559	 mean_Entropy: 0.945972+/-0.097870	 record: 310.766864	 time_elapsed: 0.2265
[ckpt] saved /home/xue/GOODRL/runs/20260518_gatv2_heft_baseline_6_4_9/checkpoints/state_latest.pth at i_update=19
[ckpt] saved /home/xue/GOODRL/runs/20260518_gatv2_heft_baseline_6_4_9/checkpoints/state_20.pth at i_update=19
Episode-21: ep_meanFlowTime: 392.689025	 all_loss: 0.104415	 p_loss: -0.102138	 e_loss: 1.012990	 v_loss: 0.208831	 v_mre: 32.479743	 grad_changes: 0.000000	 time_elapsed: 0.2361
Episode-22: ep_meanFlowTime: 436.560856	 all_loss: 0.107988	 p_loss: -0.040826	 e_loss: 1.030395	 v_loss: 0.215977	 v_mre: 28.812159	 grad_changes: 0.000000	 time_elapsed: 0.2456
